TransactionID,UserID,CourseID,TransactionDate,Amount,PaymentMethod,TeacherID,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,UserName,Age,Gender,Email
TT00001,U00003,CR00016,2025-10-25,0.0,PayPal,TC00040,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,Morrisonamanda,33,Female,Ganderson@Yahoo.Com
TT00002,U00003,CR00037,2025-01-13,0.0,PayPal,TC00040,Scrum Essentials,Project Management,Free,Intermediate,0.0,33.93,3.45,Morrisonamanda,33,Female,Ganderson@Yahoo.Com
TT00003,U00003,CR00019,2025-03-28,0.0,Bank Transfer,TC00040,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,Morrisonamanda,33,Female,Ganderson@Yahoo.Com
TT00004,U00004,CR00048,2025-06-02,0.0,Bank Transfer,TC00040,Ai Ethics,Artificial Intelligence,Free,Beginner,0.0,42.7,3.64,Fthornton,23,Female,Christensencatherine@Outlook.Com
TT00005,U00004,CR00060,2025-08-10,0.0,PayPal,TC00042,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,Fthornton,23,Female,Christensencatherine@Outlook.Com
TT00006,U00004,CR00042,2025-10-30,0.0,Credit Card,TC00042,Investment Strategies,Finance,Free,Intermediate,0.0,34.83,4.1,Fthornton,23,Female,Christensencatherine@Outlook.Com
TT00007,U00004,CR00017,2025-05-09,0.0,Bank Transfer,TC00042,Seo Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,Fthornton,23,Female,Christensencatherine@Outlook.Com
TT00008,U00004,CR00025,2025-05-07,299.57,Credit Card,TC00040,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74,Fthornton,23,Female,Christensencatherine@Outlook.Com
TT00009,U00013,CR00003,2025-10-05,0.0,PayPal,TC00040,C++ For Beginners,Programming,Free,Beginner,0.0,19.53,3.85,Cherrykathleen,33,Female,Michelewatkins@Outlook.Com
TT00010,U00013,CR00032,2025-09-29,0.0,Bank Transfer,TC00040,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,Cherrykathleen,33,Female,Michelewatkins@Outlook.Com
TT00011,U00013,CR00060,2025-11-26,0.0,PayPal,TC00042,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,Cherrykathleen,33,Female,Michelewatkins@Outlook.Com
TT00012,U00013,CR00030,2025-01-20,0.0,Bank Transfer,TC00042,Reinforcement Learning,Machine Learning,Free,Intermediate,0.0,38.49,1.73,Cherrykathleen,33,Female,Michelewatkins@Outlook.Com
TT00013,U00013,CR00056,2025-08-28,212.39,Bank Transfer,TC00042,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,Cherrykathleen,33,Female,Michelewatkins@Outlook.Com
TT00014,U00015,CR00045,2025-04-27,0.0,PayPal,TC00040,Financial Modeling,Finance,Free,Advanced,0.0,6.36,1.59,Tbaker,27,Female,Kelly33@Yahoo.Com
TT00015,U00015,CR00046,2025-02-19,248.1,Bank Transfer,TC00040,Ai For Beginners,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2,Tbaker,27,Female,Kelly33@Yahoo.Com
TT00016,U00015,CR00040,2025-12-22,327.99,Credit Card,TC00040,Leadership In Projects,Project Management,Paid,Beginner,327.99,12.13,1.51,Tbaker,27,Female,Kelly33@Yahoo.Com
TT00017,U00015,CR00019,2025-07-14,0.0,Bank Transfer,TC00042,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,Tbaker,27,Female,Kelly33@Yahoo.Com
TT00018,U00018,CR00046,2025-05-22,248.1,Credit Card,TC00040,Ai For Beginners,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2,Nicole97,24,Female,Aprilharrell@Hotmail.Com
TT00019,U00018,CR00047,2025-04-21,89.59,PayPal,TC00040,Natural Language Processing,Artificial Intelligence,Paid,Intermediate,89.59,1.55,2.68,Nicole97,24,Female,Aprilharrell@Hotmail.Com
TT00020,U00018,CR00045,2025-01-12,0.0,Credit Card,TC00040,Financial Modeling,Finance,Free,Advanced,0.0,6.36,1.59,Nicole97,24,Female,Aprilharrell@Hotmail.Com
TT00021,U00018,CR00001,2025-03-24,472.28,PayPal,TC00042,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,Nicole97,24,Female,Aprilharrell@Hotmail.Com
TT00022,U00018,CR00029,2025-01-20,0.0,Credit Card,TC00042,Natural Language Processing,Machine Learning,Free,Beginner,0.0,16.33,1.13,Nicole97,24,Female,Aprilharrell@Hotmail.Com
TT00023,U00028,CR00040,2025-05-06,327.99,Bank Transfer,TC00042,Leadership In Projects,Project Management,Paid,Beginner,327.99,12.13,1.51,Zgomez,30,Female,Rwhitaker@Outlook.Com
TT00024,U00028,CR00010,2025-08-12,0.0,Bank Transfer,TC00042,3D Modeling,Design,Free,Advanced,0.0,15.29,4.45,Zgomez,30,Female,Rwhitaker@Outlook.Com
TT00025,U00028,CR00056,2025-03-04,212.39,Credit Card,TC00040,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,Zgomez,30,Female,Rwhitaker@Outlook.Com
TT00026,U00028,CR00021,2025-04-17,0.0,Credit Card,TC00040,Data Analysis With Python,Data Science,Free,Intermediate,0.0,1.2,3.6,Zgomez,30,Female,Rwhitaker@Outlook.Com
TT00027,U00028,CR00031,2025-04-20,0.0,Bank Transfer,TC00040,Network Security,Cybersecurity,Free,Intermediate,0.0,26.52,1.91,Zgomez,30,Female,Rwhitaker@Outlook.Com
TT00028,U00045,CR00043,2025-05-06,0.0,Credit Card,TC00040,Corporate Finance,Finance,Free,Beginner,0.0,31.77,4.14,Rodneystevens,23,Female,Mitchellwilliam@Yahoo.Com
TT00029,U00045,CR00036,2025-04-28,0.0,PayPal,TC00040,Agile Project Management,Project Management,Free,Beginner,0.0,15.75,4.68,Rodneystevens,23,Female,Mitchellwilliam@Yahoo.Com
TT00030,U00045,CR00045,2025-07-10,0.0,Bank Transfer,TC00040,Financial Modeling,Finance,Free,Advanced,0.0,6.36,1.59,Rodneystevens,23,Female,Mitchellwilliam@Yahoo.Com
TT00031,U00045,CR00035,2025-07-27,0.0,Credit Card,TC00040,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,Rodneystevens,23,Female,Mitchellwilliam@Yahoo.Com
TT00032,U00048,CR00022,2025-11-19,0.0,Bank Transfer,TC00040,Data Visualization,Data Science,Free,Beginner,0.0,32.64,3.65,Willie71,19,Male,Zgarza@Hotmail.Com
TT00033,U00048,CR00016,2025-03-21,0.0,Bank Transfer,TC00040,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,Willie71,19,Male,Zgarza@Hotmail.Com
TT00034,U00048,CR00037,2025-05-25,0.0,PayPal,TC00040,Scrum Essentials,Project Management,Free,Intermediate,0.0,33.93,3.45,Willie71,19,Male,Zgarza@Hotmail.Com
TT00035,U00048,CR00025,2025-05-08,299.57,Credit Card,TC00040,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74,Willie71,19,Male,Zgarza@Hotmail.Com
TT00036,U00055,CR00058,2025-04-29,0.0,Bank Transfer,TC00040,Social Media Strategy,Digital Marketing,Free,Beginner,0.0,1.46,4.44,Hallandrea,31,Female,Michelle73@Gmail.Com
TT00037,U00055,CR00057,2025-05-17,177.34,PayPal,TC00040,Seo For E-Commerce,Digital Marketing,Paid,Advanced,177.34,49.73,3.89,Hallandrea,31,Female,Michelle73@Gmail.Com
TT00038,U00055,CR00014,2025-09-21,0.0,Credit Card,TC00040,Sales Mastery,Business,Free,Advanced,0.0,22.29,3.15,Hallandrea,31,Female,Michelle73@Gmail.Com
TT00039,U00055,CR00016,2025-06-02,0.0,Credit Card,TC00042,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,Hallandrea,31,Female,Michelle73@Gmail.Com
TT00040,U00055,CR00051,2025-09-14,37.89,PayPal,TC00042,Html & Css,Web Development,Paid,Advanced,37.89,24.11,1.3,Hallandrea,31,Female,Michelle73@Gmail.Com
TT00041,U00071,CR00025,2025-03-02,299.57,Credit Card,TC00042,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74,Kevin94,30,Female,Gonzalezchristine@Hotmail.Com
TT00042,U00071,CR00048,2025-03-18,0.0,Bank Transfer,TC00042,Ai Ethics,Artificial Intelligence,Free,Beginner,0.0,42.7,3.64,Kevin94,30,Female,Gonzalezchristine@Hotmail.Com
